v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,2000,0x7ff75b191450,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2000,0x7ff75b191530,557,ArrayIncludes
code-creation,Builtin,3,2000,0x7ff75b191770,886,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2000,0x7ff75b191af0,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2000,0x7ff75b191b70,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2000,0x7ff75b191bf0,561,ArrayIndexOf
code-creation,Builtin,3,2000,0x7ff75b191e30,12,ArrayPop
code-creation,Builtin,3,2000,0x7ff75b191e50,674,ArrayPrototypePop
code-creation,Builtin,3,2000,0x7ff75b192110,12,ArrayPush
code-creation,Builtin,3,2000,0x7ff75b192130,2782,ArrayPrototypePush
code-creation,Builtin,3,2000,0x7ff75b192c10,12,ArrayShift
code-creation,Builtin,3,2000,0x7ff75b192c30,12,ArrayUnshift
code-creation,Builtin,3,2000,0x7ff75b192c50,1090,CloneFastJSArray
code-creation,Builtin,3,2000,0x7ff75b1930b0,2538,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,2000,0x7ff75b193ab0,1118,ExtractFastJSArray
code-creation,Builtin,3,2000,0x7ff75b193f10,287,ArrayPrototypeEntries
code-creation,Builtin,3,2000,0x7ff75b194030,271,ArrayPrototypeKeys
code-creation,Builtin,3,2000,0x7ff75b194150,287,ArrayPrototypeValues
code-creation,Builtin,3,2000,0x7ff75b194270,4352,ArrayIteratorPrototypeNext
code-creation,Builtin,3,2000,0x7ff75b195390,4456,FlattenIntoArray
code-creation,Builtin,3,2000,0x7ff75b196510,4348,FlatMapIntoArray
code-creation,Builtin,3,2000,0x7ff75b197610,512,ArrayPrototypeFlat
code-creation,Builtin,3,2000,0x7ff75b197830,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,2000,0x7ff75b197a70,12,ArrayBufferConstructor
code-creation,Builtin,3,2000,0x7ff75b197a90,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2000,0x7ff75b197ab0,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2000,0x7ff75b197ad0,12,ArrayBufferIsView
code-creation,Builtin,3,2000,0x7ff75b197af0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,2000,0x7ff75b197b10,608,AsyncFunctionEnter
code-creation,Builtin,3,2000,0x7ff75b197d90,161,AsyncFunctionReject
code-creation,Builtin,3,2000,0x7ff75b197e50,153,AsyncFunctionResolve
code-creation,Builtin,3,2000,0x7ff75b197ef0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,2000,0x7ff75b197f10,1266,AsyncFunctionAwaitCaught
code-creation,Builtin,3,2000,0x7ff75b198410,1266,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,2000,0x7ff75b198910,187,AsyncFunctionAwaitRejectClosure
